node_id,type,phys_nodeid,role,inception,temp_boot_osid_vers,next_boot_osid,next_boot_osid_vers,startstatus,ready,bootstatus,status,failureaction,routertype,eventstate,state_timestamp,op_mode,op_mode_timestamp,allocstate,allocstate_timestamp,update_accounts,next_op_mode,osid,ntpdrift,jailflag,rtabid,boot_errno,reserved_pid,uuid,reserved_memory,nonfsmounts
pc242,pc3000,pc242,testnode,2005-08-09 13:40:56,0,,0,0,0,okay,,fatal,none,ISUP,1557249349.0,NORMALv2,1557249336.0,RES_READY,1557249351.0,0,,285.0,290.043,0,0,0,,de9f283e-773e-102b-8eb4-001143e453fe,0,0
ron59,pcron,ron59,testnode,,0,,0,,0,unknown,,fatal,none,ISUP,1117660205.0,WIDEAREA,1117658254.0,,,2,,,,0,0,0,,de9f29b7-773e-102b-8eb4-001143e453fe,0,0
pc299,pc3000,pc299,testnode,2005-08-16 13:06:43,0,,0,none,0,okay,up,fatal,none,PXEWAIT,1557178547.0,PXEKERNEL,1557178543.0,FREE_DIRTY,1557147032.0,0,,9999.0,-6.385,0,0,0,,de9f2b2e-773e-102b-8eb4-001143e453fe,0,0
pc298,pc3000,pc298,testnode,2005-08-16 13:06:43,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557178535.0,PXEKERNEL,1557178531.0,FREE_DIRTY,1557147032.0,0,,9999.0,291.892,0,0,0,,de9f2e23-773e-102b-8eb4-001143e453fe,0,0
pc282,pc3000,pc282,testnode,2005-08-16 11:47:04,0,,0,none,0,unknown,,fatal,none,SHUTDOWN,1554156389.0,PXEKERNEL,1530865196.0,RES_INIT_DIRTY,1530874235.0,1,NORMALv2,9999.0,8.65,0,0,0,,de9f2fa1-773e-102b-8eb4-001143e453fe,0,0
cisco10,cisco2905-modhack-ios,cisco10,testswitch,,0,,0,,0,unknown,,fatal,none,ISUP,,,,,,0,,,,0,0,0,,de9f311d-773e-102b-8eb4-001143e453fe,0,0
pc291,pc3000,pc291,testnode,2005-08-16 13:01:35,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557103539.0,PXEKERNEL,1557103535.0,FREE_DIRTY,1557090650.0,0,,9999.0,286.651,0,0,0,,de9f3291-773e-102b-8eb4-001143e453fe,0,0
pc353,pc3000,pc353,testnode,2005-08-15 20:55:33,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557116806.0,PXEKERNEL,1557116802.0,FREE_DIRTY,1557111584.0,0,,9999.0,18.119,0,0,0,,de9f3886-773e-102b-8eb4-001143e453fe,0,0
pc269,pc3000,pc269,testnode,2005-08-03 10:36:46,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557177940.0,PXEKERNEL,1557177936.0,FREE_DIRTY,1557151318.0,0,,9999.0,5.8020000000000005,0,0,0,,de9f3a0d-773e-102b-8eb4-001143e453fe,0,0
pc265,pc3000,pc265,testnode,2005-08-03 10:36:46,0,,0,none,0,okay,,fatal,none,PXEWAIT,1556934102.0,PXEKERNEL,1556934098.0,FREE_DIRTY,1556921720.0,0,,9999.0,5.737,0,0,0,,de9f3e7c-773e-102b-8eb4-001143e453fe,0,0
